stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10004,10004,"Mitthoefer Rd & John Marshall Dr N",,  39.822324, -85.990973,,,0,
10005,10005,"38th St & Mitthoefer Rd",,  39.826351, -85.992039,,,0,
10006,10006,"38th St & Strathmore Dr",,  39.826282, -85.995086,,,0,
10008,10008,"38th St & Parliament Ln",,  39.826228, -86.000690,,,0,
10009,10009,"38th St & Wittfield St",,  39.826177, -86.005041,,,0,
10011,10011,"38th St & Post Rd",,  39.826162, -86.008134,,,0,
10012,10012,"38th St & Post Rd - Northeastwood",,  39.826156, -86.011930,,,0,
10013,10013,"38th St & Biscayne Rd",,  39.826113, -86.013632,,,0,
10015,10015,"38th St & Marseille Rd",,  39.826059, -86.017840,,,0,
10016,10016,"38th St & Alsace Pl",,  39.826072, -86.019905,,,0,
10017,10017,"38th St & Harvest Ave",,  39.826035, -86.022180,,,0,
10019,10019,"Mitthoefer Rd - 3900 N",,  39.826906, -85.990998,,,0,
10020,10020,"Mitthoefer Rd & Catalina Dr",,  39.828896, -85.991071,,,0,
10021,10021,"Mitthoefer Rd & Montery Rd",,  39.830719, -85.991094,,,0,
10022,10022,"Mitthoefer Rd & Ellis Dr",,  39.832541, -85.991121,,,0,
10023,10023,"42nd St & Mitthoefer Rd",,  39.833714, -85.992020,,,0,
10024,10024,"42nd St & Burrwood Dr",,  39.833628, -85.997261,,,0,
10025,10025,"42nd St & Baker Dr",,  39.833564, -85.999209,,,0,
10026,10026,"42nd St & Stouffer Ln",,  39.833535, -86.001637,,,0,
10027,10027,"42nd St & Cordell St",,  39.833516, -86.003538,,,0,
10028,10028,"42nd St & Wittfield St",,  39.833497, -86.004614,,,0,
10030,10030,"42nd St & Post Rd",,  39.833476, -86.009627,,,0,
10032,10032,"42nd St & Rue Lemans",,  39.833388, -86.013622,,,0,
10033,10033,"42nd St & Private Dr",,  39.833386, -86.016079,,,0,
10035,10035,"42nd St & Aspen Way",,  39.833369, -86.019718,,,0,
10037,10037,"42nd St & Arborcrest Dr",,  39.833340, -86.023029,,,0,
10038,10038,"Franklin Rd & 42nd St",,  39.832677, -86.027156,,,0,
10039,10039,"Franklin Rd & Crossbridge Dr",,  39.828199, -86.027101,,,0,
10041,10041,"38th St & Franklin Rd",,  39.825889, -86.027680,,,0,
10043,10043,"38th St & Richardt St",,  39.825824, -86.036143,,,0,
10045,10045,"38th St & Kercheval Dr",,  39.825841, -86.040006,,,0,
10046,10046,"38th St & Elmhurst Dr",,  39.825851, -86.043039,,,0,
10047,10047,"38th St & Shadeland Rd",,  39.825846, -86.045525,,,0,
10048,10048,"38th St & Massachusetts Ave",,  39.825794, -86.048675,,,0,
10049,10049,"38th St & Elizabeth St",,  39.825818, -86.052279,,,0,
10050,10050,"38th St & Sheridan Ave",,  39.825606, -86.059790,,,0,
10051,10051,"38th St - Value City",,  39.825581, -86.063005,,,0,
10052,10052,"38th St & Arlington Ave",,  39.825622, -86.065554,,,0,
10053,10053,"38th St & Graham Ave",,  39.825514, -86.069103,,,0,
10056,10056,"38th St & Layman Ave",,  39.825507, -86.073401,,,0,
10057,10057,"38th St & Whittier Pl",,  39.825508, -86.075313,,,0,
10060,10060,"38th St & Butler Ave",,  39.825546, -86.080137,,,0,
10062,10062,"38th St & Emerson Ave",,  39.825592, -86.083538,,,0,
10063,10063,"38th St & Riley Ave",,  39.825568, -86.086347,,,0,
10064,10064,"38th St & Dequincy St",,  39.825563, -86.087671,,,0,
10066,10066,"38th St & Arthington Blvd",,  39.825547, -86.090555,,,0,
10068,10068,"38th St & Linwood Ave",,  39.825522, -86.093581,,,0,
10069,10069,"38th St & Colorado Ave",,  39.825492, -86.095845,,,0,
10070,10070,"38th St & Forest Manor Ave",,  39.825468, -86.097828,,,0,
10072,10072,"38th St & Chester Ave",,  39.825424, -86.100089,,,0,
10074,10074,"38th St & Sherman Dr",,  39.825414, -86.103443,,,0,
10076,10076,"38th St & Olney St",,  39.825380, -86.106540,,,0,
10078,10078,"38th St & Lasalle St",,  39.825398, -86.109784,,,0,
10079,10079,"38th St & Dearborn St",,  39.825394, -86.111564,,,0,
