route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
26-88,1910-Saturday-1-1910-0000010-,1565530,"Keystone Crossing",0,188277,260112
26-88,1910-Saturday-1-1910-0000010-,1565531,"Keystone Crossing",0,188305,260112
26-88,1910-Saturday-1-1910-0000010-,1565532,"Keystone Crossing",0,188277,260112
26-88,1910-Saturday-1-1910-0000010-,1565533,"Keystone Crossing",0,188305,260112
26-88,1910-Saturday-1-1910-0000010-,1565534,"Keystone Crossing",0,188277,260112
26-88,1910-Saturday-1-1910-0000010-,1565535,"Keystone Crossing",0,188319,260112
26-88,1910-Saturday-1-1910-0000010-,1565536,"Keystone Crossing",0,188320,260112
26-88,1910-Saturday-1-1910-0000010-,1565537,"Keystone Crossing",0,188319,260112
26-88,1910-Saturday-1-1910-0000010-,1565538,"Keystone Crossing",0,188320,260112
26-88,1910-Saturday-1-1910-0000010-,1565539,"Keystone Crossing",0,188319,260112
26-88,1910-Saturday-1-1910-0000010-,1565540,"Keystone Crossing",0,188320,260112
26-88,1910-Saturday-1-1910-0000010-,1565541,"Emerson & Thompson",1,188305,260111
26-88,1910-Saturday-1-1910-0000010-,1565542,"Emerson & Thompson",1,188277,260111
26-88,1910-Saturday-1-1910-0000010-,1565543,"Emerson & Thompson",1,188305,260111
26-88,1910-Saturday-1-1910-0000010-,1565544,"Emerson & Thompson",1,188277,260111
26-88,1910-Saturday-1-1910-0000010-,1565545,"Emerson & Thompson",1,188305,260111
26-88,1910-Saturday-1-1910-0000010-,1565546,"Emerson & Thompson",1,188277,260111
26-88,1910-Saturday-1-1910-0000010-,1565547,"Emerson & Thompson",1,188319,260111
26-88,1910-Saturday-1-1910-0000010-,1565548,"Emerson & Thompson",1,188320,260111
26-88,1910-Saturday-1-1910-0000010-,1565549,"Emerson & Thompson",1,188319,260111
26-88,1910-Saturday-1-1910-0000010-,1565550,"Emerson & Thompson",1,188320,260111
26-88,1910-Saturday-1-1910-0000010-,1565551,"Emerson & Thompson",1,188319,260111
86-88,1910-Saturday-1-1910-0000010-,1565552,"Community North",0,188290,860053
86-88,1910-Saturday-1-1910-0000010-,1565553,"Traders Point",1,188281,860052
86-88,1910-Saturday-1-1910-0000010-,1565554,"Traders Point",1,188290,860052
86-88,1910-Saturday-1-1910-0000010-,1565555,"Community North",0,188330,860053
86-88,1910-Saturday-1-1910-0000010-,1565556,"Traders Point",1,188280,860052
86-88,1910-Saturday-1-1910-0000010-,1565557,"Traders Point",1,188278,860052
86-88,1910-Saturday-1-1910-0000010-,1565558,"Traders Point",1,188281,860052
86-88,1910-Saturday-1-1910-0000010-,1565559,"Traders Point",1,188279,860052
86-88,1910-Saturday-1-1910-0000010-,1565560,"Traders Point",1,188280,860052
86-88,1910-Saturday-1-1910-0000010-,1565561,"Traders Point",1,188278,860052
86-88,1910-Saturday-1-1910-0000010-,1565562,"Traders Point",1,188279,860052
86-88,1910-Saturday-1-1910-0000010-,1565563,"Traders Point",1,188298,860052
86-88,1910-Saturday-1-1910-0000010-,1565564,"Traders Point",1,188280,860052
86-88,1910-Saturday-1-1910-0000010-,1565565,"Traders Point",1,188279,860052
86-88,1910-Saturday-1-1910-0000010-,1565566,"Traders Point",1,188298,860052
86-88,1910-Saturday-1-1910-0000010-,1565567,"Traders Point",1,188280,860052
86-88,1910-Saturday-1-1910-0000010-,1565568,"Traders Point",1,188279,860052
86-88,1910-Saturday-1-1910-0000010-,1565569,"Traders Point",1,188281,860052
86-88,1910-Saturday-1-1910-0000010-,1565570,"Traders Point",1,188298,860052
86-88,1910-Saturday-1-1910-0000010-,1565571,"Traders Point",1,188330,860052
86-88,1910-Saturday-1-1910-0000010-,1565572,"Traders Point",1,188282,860052
86-88,1910-Saturday-1-1910-0000010-,1565573,"Traders Point",1,188290,860052
86-88,1910-Saturday-1-1910-0000010-,1565574,"Traders Point",1,188331,860052
86-88,1910-Saturday-1-1910-0000010-,1565575,"Traders Point",1,188330,860052
86-88,1910-Saturday-1-1910-0000010-,1565576,"Traders Point",1,188282,860052
86-88,1910-Saturday-1-1910-0000010-,1565577,"Traders Point",1,188290,860052
86-88,1910-Saturday-1-1910-0000010-,1565578,"Traders Point",1,188331,860052
86-88,1910-Saturday-1-1910-0000010-,1565579,"Traders Point",1,188330,860052
86-88,1910-Saturday-1-1910-0000010-,1565580,"Traders Point",1,188282,860052
86-88,1910-Saturday-1-1910-0000010-,1565581,"Traders Point",1,188278,860052
86-88,1910-Saturday-1-1910-0000010-,1565582,"Traders Point",1,188310,860052
86-88,1910-Saturday-1-1910-0000010-,1565583,"Traders Point",1,188281,860052
86-88,1910-Saturday-1-1910-0000010-,1565584,"Traders Point",1,188330,860052
86-88,1910-Saturday-1-1910-0000010-,1565585,"Community North",0,188281,860053
86-88,1910-Saturday-1-1910-0000010-,1565586,"Community North",0,188281,860053
86-88,1910-Saturday-1-1910-0000010-,1565587,"Community North",0,188279,860053
86-88,1910-Saturday-1-1910-0000010-,1565588,"Community North",0,188280,860053
86-88,1910-Saturday-1-1910-0000010-,1565589,"Community North",0,188278,860053
86-88,1910-Saturday-1-1910-0000010-,1565590,"Community North",0,188281,860053
86-88,1910-Saturday-1-1910-0000010-,1565591,"Community North",0,188279,860053
86-88,1910-Saturday-1-1910-0000010-,1565592,"Community North",0,188278,860053
86-88,1910-Saturday-1-1910-0000010-,1565593,"Community North",0,188280,860053
86-88,1910-Saturday-1-1910-0000010-,1565594,"Community North",0,188279,860053
86-88,1910-Saturday-1-1910-0000010-,1565595,"Community North",0,188281,860053
86-88,1910-Saturday-1-1910-0000010-,1565596,"Community North",0,188298,860053
86-88,1910-Saturday-1-1910-0000010-,1565597,"Community North",0,188280,860053
86-88,1910-Saturday-1-1910-0000010-,1565598,"Community North",0,188279,860053
86-88,1910-Saturday-1-1910-0000010-,1565599,"Community North",0,188298,860053
86-88,1910-Saturday-1-1910-0000010-,1565600,"Community North",0,188280,860053
86-88,1910-Saturday-1-1910-0000010-,1565601,"Community North",0,188282,860053
86-88,1910-Saturday-1-1910-0000010-,1565602,"Community North",0,188290,860053
86-88,1910-Saturday-1-1910-0000010-,1565603,"Community North",0,188331,860053
86-88,1910-Saturday-1-1910-0000010-,1565604,"Community North",0,188330,860053
86-88,1910-Saturday-1-1910-0000010-,1565605,"Community North",0,188282,860053
86-88,1910-Saturday-1-1910-0000010-,1565606,"Community North",0,188290,860053
86-88,1910-Saturday-1-1910-0000010-,1565607,"Community North",0,188331,860053
86-88,1910-Saturday-1-1910-0000010-,1565608,"Community North",0,188330,860053
86-88,1910-Saturday-1-1910-0000010-,1565609,"Community North",0,188282,860053
86-88,1910-Saturday-1-1910-0000010-,1565610,"Community North",0,188290,860053
86-88,1910-Saturday-1-1910-0000010-,1565611,"Community North",0,188331,860053
86-88,1910-Saturday-1-1910-0000010-,1565612,"Community North",0,188318,860053
86-88,1910-Saturday-1-1910-0000010-,1565613,"Community North",0,188278,860053
2-88,1910-Saturday-1-1910-0000010-,1565614,"Transit Center",0,188283,20234
2-88,1910-Saturday-1-1910-0000010-,1565615,"Transit Center",0,188283,20234
2-88,1910-Saturday-1-1910-0000010-,1565616,"Transit Center",0,188287,20234
2-88,1910-Saturday-1-1910-0000010-,1565617,"Transit Center",0,188284,20234
2-88,1910-Saturday-1-1910-0000010-,1565618,"Transit Center",0,188287,20234
2-88,1910-Saturday-1-1910-0000010-,1565619,"Transit Center",0,188283,20234
2-88,1910-Saturday-1-1910-0000010-,1565620,"Western Select",1,188283,20226
2-88,1910-Saturday-1-1910-0000010-,1565621,"Western Select",1,188369,20226
2-88,1910-Saturday-1-1910-0000010-,1565622,"Transit Center",0,188284,20234
2-88,1910-Saturday-1-1910-0000010-,1565623,"Transit Center",0,188287,20234
2-88,1910-Saturday-1-1910-0000010-,1565624,"Transit Center",0,188283,20234
2-88,1910-Saturday-1-1910-0000010-,1565625,"Transit Center",0,188284,20234
2-88,1910-Saturday-1-1910-0000010-,1565626,"Transit Center",0,188287,20234
2-88,1910-Saturday-1-1910-0000010-,1565627,"Transit Center",0,188283,20234
2-88,1910-Saturday-1-1910-0000010-,1565628,"Transit Center",0,188284,20234
