service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
18_merged_3589831,20211220,20220206,0,0,0,0,0,0,0
9_merged_3589845,20220207,20220306,0,0,1,0,0,0,0
18_merged_3589840,20220207,20220306,0,0,0,0,0,0,0
20_merged_3589829,20211220,20220206,0,0,0,0,0,0,0
5_merged_3589843,20220207,20220306,0,0,0,1,0,0,0
5_merged_3589834,20211220,20220206,0,0,0,1,0,0,0
9_merged_3589836,20211220,20220206,0,0,1,0,0,0,0
10_merged_3589828,20211220,20220206,0,1,0,0,0,0,0
1_merged_3589832,20211220,20220206,0,0,0,0,1,0,0
1_merged_3589841,20220207,20220306,0,0,0,0,1,0,0
3_merged_3589842,20220207,20220306,0,0,0,0,0,1,0
20_merged_3589838,20220207,20220306,0,0,0,0,0,0,0
4_merged_3589844,20220207,20220306,0,0,0,0,0,0,1
3_merged_3589833,20211220,20220206,0,0,0,0,0,1,0
10_merged_3589837,20220207,20220306,0,1,0,0,0,0,0
16_merged_3589839,20220207,20220306,1,0,0,0,0,0,0
16_merged_3589830,20211220,20220206,1,0,0,0,0,0,0
4_merged_3589835,20211220,20220206,0,0,0,0,0,0,1
