,stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id,stop_x,stop_y
0,42.74828,0,1867,-84.57249,,,,W WILLOW ST & N JENISON AVE,EBD Willow past Jenison Ave,0,1867,,990464.3366151686,686154.1833024301
1,42.744406,0,3924,-84.462179,,,,N HAGADORN RD & WOODSIDE DR,NBD Hagadorn before Ridgewood Dr,0,3924,,999490.6776918946,685716.6931046272
2,42.683992,0,4458,-84.547894,,,,S CEDAR ST & W JOLLY RD,NBD Cedar past Jolly Rd,0,4458,,992468.7697868854,679006.1444309889
3,42.687235,0,4418,-84.594968,,,,ATLANTA PL & REO RD,NBD Atlanta before Ronald St,0,4418,,988613.3055541981,679372.1230336082
4,42.741056,0,1855,-84.608653,,,,E SAGINAW HWY & CLARK RD,EBD Saginaw past Renker Rd,0,1855,,987503.718874985,685356.1898132013
5,42.69773,0,4373,-84.53816,,,,S PENNSYLVANIA AVE & S DEXTER DR,SBD Pennsylvania past Dexter D,0,4373,,993267.6966558964,680532.1816290186
6,42.706592,0,1806,-84.556889,,,,S WASHINGTON AVE & KENSINGTON RD,NBD Washington past Kensington R,0,1806,,991735.0943275045,681518.9011676796
7,42.762415,0,4784,-84.542725,,,,N EAST ST & BATES ST,NBD N East past Bates,0,4784,,992901.6004312077,687722.230332353
8,42.757761,0,3726,-84.523153,,,,WOOD ST & PEPPERTREE LN,SBD Wood past Barritt St,0,3726,,994502.295533611,687203.3949563075
9,42.74825,0,1868,-84.5681,,,,W WILLOW ST & N MARTIN LUTHER KING JR BLVD,EBD Willow past Linwood St,0,1868,,990823.5505200966,686150.3377928231
10,42.767178,0,4780,-84.592398,,,,N GRAND RIVER AVE & ANDREA DR,EBD Grand River at Andrea,0,4780,,988838.8996553062,688257.2919808088
11,42.71615,0,3258,-84.54649,,,,S CEDAR ST & BAKER ST,SBD Cedar past Baker St,0,3258,,992587.8049003654,682580.2265460149
12,42.773156,0,5988,-84.499968,,,,COLEMAN RD & HAMLET RD,EBD Coleman past Hamlet,0,5988,,996400.0785882821,688913.2788752906
13,42.690124,0,5989,-84.498843,,,,COLLINS RD & POWER LINE RD,SBD Collins before Dunkel,0,5989,,996487.1705875117,679684.3092754564
14,42.75008,0,3553,-84.534527,,,,VERMONT AVE & E GRAND RIVER AVE,NBD Vermont before Oak St,0,3553,,993570.914355,686350.4847963323
15,42.74761,0,3552,-84.534517,,,,VERMONT AVE & E GRAND RIVER AVE,NBD Vermont past Grand River Av,0,3552,,993571.4642619923,686075.9414190764
16,42.747147,0,3551,-84.537687,,,,,EBD Pennsylvania before Grand River,0,3551,,993312.0186974839,686024.7372994414
17,42.745778,0,3550,-84.537713,,,,N PENNSYLVANIA AVE & PERSONS CT,NBD Pennsylvania past Porter St,0,3550,,993309.7363910327,685872.5743304342
