stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
42.74828,0,1867,-84.57249,,,,W WILLOW ST & N JENISON AVE,EBD Willow past Jenison Ave,0,1867,
42.744406,0,3924,-84.462179,,,,N HAGADORN RD & WOODSIDE DR,NBD Hagadorn before Ridgewood Dr,0,3924,
42.683992,0,4458,-84.547894,,,,S CEDAR ST & W JOLLY RD,NBD Cedar past Jolly Rd,0,4458,
42.687235,0,4418,-84.594968,,,,ATLANTA PL & REO RD,NBD Atlanta before Ronald St,0,4418,
42.741056,0,1855,-84.608653,,,,E SAGINAW HWY & CLARK RD,EBD Saginaw past Renker Rd,0,1855,
42.69773,0,4373,-84.53816,,,,S PENNSYLVANIA AVE & S DEXTER DR,SBD Pennsylvania past Dexter D,0,4373,
42.706592,0,1806,-84.556889,,,,S WASHINGTON AVE & KENSINGTON RD,NBD Washington past Kensington R,0,1806,
42.762415,0,4784,-84.542725,,,,N EAST ST & BATES ST,NBD N East past Bates,0,4784,
42.757761,0,3726,-84.523153,,,,WOOD ST & PEPPERTREE LN,SBD Wood past Barritt St,0,3726,
42.74825,0,1868,-84.5681,,,,W WILLOW ST & N MARTIN LUTHER KING JR BLVD,EBD Willow past Linwood St,0,1868,
42.767178,0,4780,-84.592398,,,,N GRAND RIVER AVE & ANDREA DR,EBD Grand River at Andrea,0,4780,
42.71615,0,3258,-84.54649,,,,S CEDAR ST & BAKER ST,SBD Cedar past Baker St,0,3258,
42.773156,0,5988,-84.499968,,,,COLEMAN RD & HAMLET RD,EBD Coleman past Hamlet,0,5988,
42.690124,0,5989,-84.498843,,,,COLLINS RD & POWER LINE RD,SBD Collins before Dunkel,0,5989,
42.75008,0,3553,-84.534527,,,,VERMONT AVE & E GRAND RIVER AVE,NBD Vermont before Oak St,0,3553,
42.74761,0,3552,-84.534517,,,,VERMONT AVE & E GRAND RIVER AVE,NBD Vermont past Grand River Av,0,3552,
42.747147,0,3551,-84.537687,,,,,EBD Pennsylvania before Grand River,0,3551,
42.745778,0,3550,-84.537713,,,,N PENNSYLVANIA AVE & PERSONS CT,NBD Pennsylvania past Porter St,0,3550,
42.77306,0,5982,-84.491269,,,,COLEMAN RD,EBD Coleman at Block 36,0,5982,
42.68989,0,4376,-84.53817,,,,S PENNSYLVANIA AVE & SAMANTHA ST,SBD Pennsylvania past Cavanaugh,0,4376,
42.62794,0,1940,-84.5429,,,,N EIFERT RD & WINDMILL BLVD,NBD Eifert at Valley Brook Rd,0,1940,
42.62919,0,1946,-84.52227,,,,DONCASTER AVE & AURELIUS RD,EBD Doncaster past Aurelius Rd,0,1946,
42.758861,0,5987,-84.483693,,,,ABBOT RD & LAKE LANSING RD,NBD Abbot before Lake Lansing Rd,0,5987,
42.726685,0,5984,-84.612901,,,,E ST JOE HWY & CHESLEY ST,WBD St Joseph before Chesley,0,5984,
42.681346,0,161,-84.545672,,,,UNNAMED ST & S CEDAR ST,Family Ind. Agency,0,161,
42.685865,0,45,-84.498751,,,,COLLINS RD & DUNCKEL RD,SBD Collins Rd @ Post Office,0,45,
