block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_431500,0,16,0,0,16 W LAKE LANSING RD - EASTWOOD TOWNE CENTER,48264,1_merged_3589841,3580591,
b_431500,0,16,0,0,16 W LAKE LANSING RD - EASTWOOD TOWNE CENTER,48264,1_merged_3589841,3580590,
b_431500,0,16,0,0,16 W LAKE LANSING RD - EASTWOOD TOWNE CENTER,48264,1_merged_3589841,3580593,
b_431500,0,16,0,0,16 W LAKE LANSING RD - EASTWOOD TOWNE CENTER,48264,1_merged_3589841,3580592,
b_431500,0,16,0,0,16 W LAKE LANSING RD - EASTWOOD TOWNE CENTER,48264,1_merged_3589841,3580595,
b_431500,0,16,0,0,16 W LAKE LANSING RD - EASTWOOD TOWNE CENTER,48264,1_merged_3589841,3580594,
b_431499,0,16,0,0,16 W LAKE LANSING RD - EASTWOOD TOWNE CENTER,48264,1_merged_3589841,3580597,
b_431500,0,16,0,0,16 W LAKE LANSING RD - EASTWOOD TOWNE CENTER,48264,1_merged_3589841,3580596,
b_431499,0,16,0,0,16 W LAKE LANSING RD - EASTWOOD TOWNE CENTER,48264,1_merged_3589841,3580599,
b_431499,0,16,0,0,16 W LAKE LANSING RD - EASTWOOD TOWNE CENTER,48264,1_merged_3589841,3580598,
b_431511,0,18,0,0,,48269,10_merged_3589837,3580845,
b_431512,0,18,0,0,,48269,10_merged_3589837,3580844,
b_431511,0,18,0,0,,48269,10_merged_3589837,3580843,
b_431512,0,18,0,0,,48269,10_merged_3589837,3580842,
b_431511,0,18,0,0,,48269,10_merged_3589837,3580841,
b_431512,0,18,0,0,,48269,10_merged_3589837,3580840,
b_431452,0,12,0,0,12 W MICHIGAN - 12 LCC WEST,48249,18_merged_3589840,3579421,
b_431274,0,14,0,0,14 N GRAND RIVER - OLD TOWN - CAPITAL CITY AIRPORT,48257,18_merged_3589840,3580055,
b_431497,0,16,0,1,16 W LAKE LANSING RD - DOWNTOWN,48266,5_merged_3589843,3580561,
b_431194,0,02,0,0,2 S WASHINGTON /PLEASANT GROVE,48202,1_merged_3589841,3575342,
b_431274,0,05,0,0,5 SOUTH CEDAR - EDGEWOOD,48216,18_merged_3589840,3576702,
b_431946,0,12,0,0,12 W MICHIGAN - 12 LCC WEST,48249,1_merged_3589841,3585552,
b_432013,0,34,0,0,34 BRODY COMPLEX - UNIVERSITY VILLAGE,48303,4_merged_3589844,3587318,
b_432012,0,34,0,0,34 BRODY COMPLEX - UNIVERSITY VILLAGE,48303,4_merged_3589844,3587319,
b_432018,0,38,0,1,38 - SPARTAN VILLAGE,48362,1_merged_3589841,3587648,
b_432018,0,38,0,1,38 - SPARTAN VILLAGE,48362,1_merged_3589841,3587649,
b_431946,0,12,0,0,12 W MICHIGAN - 12 LCC WEST,48249,1_merged_3589841,3585553,
b_432018,0,38,0,1,38 - SPARTAN VILLAGE,48362,1_merged_3589841,3587644,
b_432018,0,38,0,1,38 - SPARTAN VILLAGE,48362,1_merged_3589841,3587645,
