service_id,date,exception_type
21-MAR_AMZON_6,20210328,1
21-MAR_UWON_0,20210329,1
21-MAR_LW-AON_0,20210329,1
21-MAR_AMZON_0,20210329,1
21-MAR_LW-PON_0,20210330,1
21-MAR_UWON_0,20210330,1
21-MAR_LW-AON_0,20210330,1
21-MAR_AMZON_0,20210330,1
21-MAR_LW-PON_0,20210331,1
21-MAR_UWON_0,20210331,1
21-MAR_LW-AON_0,20210331,1
21-MAR_AMZON_0,20210331,1
21-MAR_B2-1ON_0,20210401,1
21-MAR_JG-PON_0,20210401,1
21-MAR_LW-PON_0,20210401,1
21-MAR_MPON_0,20210401,1
21-MAR_RR-AON_0,20210401,1
21-MAR_RR-PON_0,20210401,1
21-MAR_UWON_0,20210401,1
21-MAR_LW-AON_0,20210401,1
21-MAR_AMZON_0,20210401,1
21-MAR_JG-PON_0,20210402,1
21-MAR_MPON_0,20210402,1
21-MAR_RR-AON_0,20210402,1
21-MAR_RR-PON_0,20210402,1
21-MAR_UWON_0,20210402,1
21-MAR_AMZON_0,20210402,1
21-MAR_B2-630ON_5,20210403,1
21-MAR_AMZON_5,20210403,1
21-MAR_B2-1ON_6,20210404,1
21-MAR_AMZON_6,20210404,1
21-MAR_JG-PON_0,20210405,1
21-MAR_MPON_0,20210405,1
21-MAR_RR-AON_0,20210405,1
21-MAR_RR-PON_0,20210405,1
21-MAR_UWON_0,20210405,1
21-MAR_WN-AON_0,20210405,1
21-MAR_WN-PON_0,20210405,1
21-MAR_AMZON_0,20210405,1
21-MAR_JG-PON_0,20210406,1
21-MAR_MPON_0,20210406,1
21-MAR_RR-AON_0,20210406,1
21-MAR_RR-PON_0,20210406,1
21-MAR_UWON_0,20210406,1
21-MAR_WN-AON_0,20210406,1
21-MAR_WN-PON_0,20210406,1
21-MAR_AMZON_0,20210406,1
21-MAR_JG-PON_0,20210407,1
21-MAR_MPON_0,20210407,1
21-MAR_RR-AON_0,20210407,1
21-MAR_RR-PON_0,20210407,1
21-MAR_UWON_0,20210407,1
21-MAR_WN-AON_0,20210407,1
21-MAR_WN-PON_0,20210407,1
21-MAR_AMZON_0,20210407,1
21-MAR_JG-PON_0,20210408,1
21-MAR_MPON_0,20210408,1
21-MAR_NH-AON_0,20210408,1
21-MAR_NH-PON_0,20210408,1
21-MAR_RR-AON_0,20210408,1
21-MAR_RR-PON_0,20210408,1
21-MAR_UWON_0,20210408,1
21-MAR_WN-AON_0,20210408,1
21-MAR_WN-PON_0,20210408,1
21-MAR_AMZON_0,20210408,1
21-MAR_JG-PON_0,20210409,1
21-MAR_MPON_0,20210409,1
21-MAR_NH-AON_0,20210409,1
21-MAR_NH-PON_0,20210409,1
21-MAR_RR-AON_0,20210409,1
21-MAR_RR-PON_0,20210409,1
21-MAR_UWON_0,20210409,1
21-MAR_WN-AON_0,20210409,1
21-MAR_WN-PON_0,20210409,1
21-MAR_AMZON_0,20210409,1
21-MAR_AMZON_5,20210410,1
21-MAR_AMZON_6,20210411,1
21-MAR_JG-PON_0,20210412,1
21-MAR_LW-PON_0,20210412,1
21-MAR_MPON_0,20210412,1
21-MAR_NH-AON_0,20210412,1
21-MAR_NH-PON_0,20210412,1
21-MAR_RR-AON_0,20210412,1
21-MAR_RR-PON_0,20210412,1
21-MAR_UWON_0,20210412,1
21-MAR_WN-AON_0,20210412,1
21-MAR_WN-PON_0,20210412,1
21-MAR_B2-630ON_0,20210412,1
21-MAR_LW-AON_0,20210412,1
21-MAR_AMZON_0,20210412,1
21-MAR_JG-PON_0,20210413,1
21-MAR_LW-PON_0,20210413,1
21-MAR_MPON_0,20210413,1
21-MAR_NH-AON_0,20210413,1
