route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
   12,MCTS,   12,Teutonia-Hampton,,3,https://www.ridemcts.com/routes-schedules/12/,,
   14,MCTS,   14,Humboldt - Forest Home,,3,https://www.ridemcts.com/routes-schedules/14/,,
   15,MCTS,   15,Holton - Kinnickinnic,,3,https://www.ridemcts.com/routes-schedules/15/,,
   19,MCTS,   19,M.L. King - S.13th Street,,3,https://www.ridemcts.com/routes-schedules/19/,,
   20,MCTS,   20,S. 20th Street,,3,https://www.ridemcts.com/routes-schedules/20/,,
   21,MCTS,   21,North Avenue,,3,https://www.ridemcts.com/routes-schedules/21/,,
   22,MCTS,   22,Center Street - N. 92nd,,3,https://www.ridemcts.com/routes-schedules/22/,,
   28,MCTS,   28,108th Street,,3,https://www.ridemcts.com/routes-schedules/28/,,
   30,MCTS,   30,Sherman - Wisconsin,,3,https://www.ridemcts.com/routes-schedules/30/,,
   31,MCTS,   31,State - Highland,,3,https://www.ridemcts.com/routes-schedules/31/,,
   33,MCTS,   33,Vliet - 84th Street,,3,https://www.ridemcts.com/routes-schedules/33/,,
   35,MCTS,   35,35th Street,,3,https://www.ridemcts.com/routes-schedules/35/,,
   51,MCTS,   51,Oklahoma Avenue,,3,https://www.ridemcts.com/routes-schedules/51/,,
   52,MCTS,   52,Clement - Pennsylvania,,3,https://www.ridemcts.com/routes-schedules/52/,,
   53,MCTS,   53,Lincoln Avenue,,3,https://www.ridemcts.com/routes-schedules/53/,,
   54,MCTS,   54,Mitchell - Burnham,,3,https://www.ridemcts.com/routes-schedules/54/,,
   55,MCTS,   55,Layton Avenue,,3,https://www.ridemcts.com/routes-schedules/55/,,
   56,MCTS,   56,Greenfield  Avenue,,3,https://www.ridemcts.com/routes-schedules/56/,,
   57,MCTS,   57,Walnut - Appleton,,3,https://www.ridemcts.com/routes-schedules/57/,,
   60,MCTS,   60,Burleigh Street,,3,https://www.ridemcts.com/routes-schedules/60/,,
   63,MCTS,   63,Silver Spring Drive,,3,https://www.ridemcts.com/routes-schedules/63/,,
   64,MCTS,   64,S. 60th Street,,3,https://www.ridemcts.com/routes-schedules/64/,,
   67,MCTS,   67,N. 76th - S. 84th,,3,https://www.ridemcts.com/routes-schedules/67/,,
   68,MCTS,   68,Port Washington Road,,3,https://www.ridemcts.com/routes-schedules/68/,,
   76,MCTS,   76,N 60th - S. 70th,,3,https://www.ridemcts.com/routes-schedules/76/,,
   80,MCTS,   80,6th Street,,3,https://www.ridemcts.com/routes-schedules/80/,,
   81,MCTS,   81,Amazon Oak Creek,,3,https://www.ridemcts.com/routes-schedules/81/,,
  BLU,MCTS,  BLU,BlueLine,,3,https://www.ridemcts.com/routes-schedules/BlueLine/,,
  BRW,MCTS,  BRW,Brewer Baseball,,3,https://www.ridemcts.com/routes-schedules/BRW/,,
  GOL,MCTS,  GOL,GoldLine,,3,https://www.ridemcts.com/routes-schedules/GoldLine/,,
  GRE,MCTS,  GRE,GreenLine,,3,https://www.ridemcts.com/routes-schedules/GreenLine/,,
  PUR,MCTS,  PUR,PurpleLine,,3,https://www.ridemcts.com/routes-schedules/PurpleLine/,,
  RED,MCTS,  RED,RedLine,,3,https://www.ridemcts.com/routes-schedules/RedLine/,,
  143,MCTS,  143,Ozaukee County Express,,3,https://www.ridemcts.com/routes-schedules/143/,,
   40,MCTS,   40,College Avenue Flyer,,3,https://www.ridemcts.com/routes-schedules/40/,,
  40U,MCTS,  40U,Holt - College   UBUS,,3,https://www.ridemcts.com/routes-schedules/40U/,,
   43,MCTS,   43,Hales Corners Flyer,,3,https://www.ridemcts.com/routes-schedules/43/,,
   44,MCTS,   44,State Fair Park Flyer,,3,https://www.ridemcts.com/routes-schedules/44/,,
  44U,MCTS,  44U,Fair Park - Hales Corners   UBUS,,3,https://www.ridemcts.com/routes-schedules/44U/,,
   46,MCTS,   46,Loomis Flyer,,3,https://www.ridemcts.com/routes-schedules/46/,,
   48,MCTS,   48,South Shore Flyer,,3,https://www.ridemcts.com/routes-schedules/48/,,
   49,MCTS,   49,Brown Deer - Bayshore Flyer,,3,https://www.ridemcts.com/routes-schedules/49/,,
  49U,MCTS,  49U,Brown Deer   UBUS,,3,https://www.ridemcts.com/routes-schedules/49U/,,
   79,MCTS,   79,Menomonee Falls Flyer,,3,https://www.ridemcts.com/routes-schedules/79/,,
  RR1,MCTS,  RR1,Via Rt 19,,3,https://www.ridemcts.com/routes-schedules/RR1/,,
  RR2,MCTS,  RR2,Via PurpleLine,,3,https://www.ridemcts.com/routes-schedules/RR2/,,
  RR3,MCTS,  RR3,Via Rt 19 & Blueline,,3,https://www.ridemcts.com/routes-schedules/RR3/,,
  137,MCTS,  137,House of Correction,,3,https://www.ridemcts.com/routes-schedules/137/,,
