,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,jurisdiction_id,location_type,parent_station,relative_position,cardinal_direction,wheelchair_boarding,primary_street,address_range,cross_location,stop_x,stop_y
0,1662,1662,E Gorham & N Blount (WB),This stop (#1662) is westbound on the 698 block of Gorham St (e) farside Blount St (n),43.082455,-89.38099,MMT,CMAD,0,,1,270.0,1,E Gorham,698,N Blount,599527.9059857747,735569.850105799
1,2437,2437,Toepfer & Birch (NB),This stop (#2437) is northbound on the 441 block of Toepfer Ave farside Birch Ave,43.058547,-89.44174,MMT,CMAD,0,,1,0.0,1,Toepfer,441,Birch,594429.628107378,733221.2838053656
2,7931,7931,North Star & Orion (NB),This stop (#7931) is northbound on the 741 block of North Star Dr nearside Orion Trl,43.087951,-89.279047,MMT,CMAD,0,,3,0.0,1,North Star,741,Orion,607843.8425380038,735677.1765293553
3,1110,1110,E Dayton & Wisconsin (WB),This EVENT/DETOUR ONLY stop (#1110) is westbound on the 2 block of Dayton St (E) nearside of Wisconsin Ave,43.076428,-89.38592,MMT,CMAD,0,,3,270.0,1,E Dayton,2,Wisconsin,599086.4578195014,734925.5665483708
4,1111,1111,W Doty & M L K Junior (EB),This EVENT/DETOUR ONLY stop (#1111) is eastbound on the 1 block of Doty St (W) nearside of Martin Luther King Jr Blvd,43.072938,-89.382354,MMT,CMAD,0,,3,90.0,1,W Doty,1,M L K Junior,599352.3203889332,734520.4776008688
5,1124,1124,S Fairchild & W Main (SB),This EVENT/DETOUR ONLY stop (#1124) is southbound on the 98 block of Fairchild St (S) nearside of Main St (W),43.072467,-89.385273,MMT,CMAD,0,,3,180.0,1,S Fairchild,98,W Main,599112.0158951415,734482.7616080677
6,1135,1135,N Webster & E Mifflin (NB),This EVENT/DETOUR ONLY stop (#1135) is northbound on the 101 block of Webster St (N) farside of Mifflin St (E),43.077272,-89.383413,MMT,CMAD,0,,1,0.0,1,N Webster,101,E Mifflin,599295.8250657449,735006.7299894998
7,1140,1140,E Washington & N Webster (WB),This EVENT/DETOUR ONLY stop (#1140) is westbound on the 200 block of E Washington Ave nearside of Webster St (N),43.07639,-89.38193,MMT,CMAD,0,,3,270.0,1,E Washington,200,N Webster,599410.2664908795,734901.456366248
8,1146,1146,N Fairchild & W Washington (SB),This EVENT/DETOUR ONLY stop (#1146) is southbound on the 50 block of Fairchild St (N) nearside of W Washington Ave,43.073504,-89.386724,MMT,CMAD,0,,3,180.0,1,N Fairchild,50,W Washington,599001.2264761811,734605.0818192291
9,1155,1155,S Webster & E Main (NB),This EVENT/DETOUR ONLY stop (#1155) is northbound on the 99 block of Webster St (S) farside of Main St (E),43.075579,-89.381192,MMT,CMAD,0,,1,0.0,1,S Webster,99,E Main,599464.6851573451,734807.7762771775
10,1174,1174,W Dayton & State (WB),This EVENT/DETOUR ONLY stop (#1174) is westbound on the 198 block of Dayton St (W) nearside of State St,43.07512,-89.387855,MMT,CMAD,0,,3,270.0,1,W Dayton,198,State,598920.3799735577,734790.0625185085
11,1189,1189,E Doty & S Pinckney (EB),This EVENT/DETOUR ONLY stop (#1189) is eastbound on the 101 block of Doty St (E) nearside of Pinckney St (S),43.074111,-89.380724,MMT,CMAD,0,,3,90.0,1,E Doty,101,S Pinckney,599492.7026459668,734642.5301376029
12,4000,SoTP,South Transfer Point,The South Transfer Point station is located at 2430 Park St (S) - just north of Badger Rd (W),43.038957,-89.394651,MMT,MTSM,1,,5,,1,South Transfer Point,2430,S Park,598121.5132492965,730810.8448068256
13,4100,4100,South Transfer Point,This stop (#4100) is on the pedestrian island at the South Transfer Point station,43.038895,-89.394824,MMT,MTSM,0,4000.0,5,,1,South Transfer Point,2430,S Park,598107.030085739,730804.8295077931
14,5000,NoTP,North Transfer Point,The North Transfer Point station is located at 1213 Huxley St - just south of Aberg Av,43.112918,-89.358526,MMT,MTSM,1,,5,,1,North Transfer Point,1213,Huxley,601558.7238917521,738839.0025637592
15,5100,5100,North Transfer Point,This stop (#5100) is on the pedestrian island at the North Transfer Point station,43.113253,-89.35854,MMT,MTSM,0,5000.0,5,,1,North Transfer Point,1213,Huxley,601559.8579762988,738876.2511663918
16,6000,WeTP,West Transfer Point,The West Transfer Point station is located at 5700 Tokay Blvd - just west of Whitney Way,43.053863,-89.475454,MMT,MTSM,1,,5,,1,West Transfer Point,5700,Tokay,591658.2047318732,732872.1989490305
17,6100,6100,West Transfer Point,This stop (#6100) is on the pedestrian island at the West Transfer Point station,43.053883,-89.475098,MMT,MTSM,0,6000.0,5,,1,West Transfer Point,5700,Tokay,591687.2668358486,732872.6098119414
18,7000,EaTP,East Transfer Point,The East Transfer Point station is located at 102 Corporate Dr (W) - just north of Milwaukee St,43.098624,-89.322251,MMT,MTSM,1,,5,,1,East Transfer Point,102,W Corporate,604407.0844845977,737073.4325012795
19,7100,7100,East Transfer Point,This stop (#7100) is on the pedestrian island at the East Transfer Point station,43.098619,-89.322148,MMT,MTSM,0,7000.0,5,,1,East Transfer Point,102,W Corporate,604415.4137344118,737072.3706654373
